area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender
Chedda Nagar,open area,3pm-6pm,light rain,2 wheeler,>10,head on collision,defect in road condition,<5years,upto 8th std,on wrong side of the road,50-70,Surfaced Roads,4 Lanes or more with central divider,round about junction,flashing signal/blinker,owner of private vehicle,female
Chedda Nagar,near office complex,9pm-12am,cloudy,3 wheeler,<1,overturning,defect in road condition,15-17years,9-10std,cut in sharply after passing,30-50,Surfaced Roads,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,regular licence,female
Pant Nagar,near a recreation place/cinema,6pm-9pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",1-2year,hit and run,fault of pedestrian,45-54years,above 10th std,failed to give signal,<30,rutted/pot holes,3 Lanes or more without central Divider Median,round about junction,uncontolled,regular licence,female
Pant Nagar,near office complex,6pm-9pm,fine,3 wheeler,4-6year,collision brush/side swip,poor light,45-54years,above 10th std,passed on curve,<30,incline road,3 Lanes or more without central Divider Median,round about junction,traffic light signal,owner of private vehicle,female
Pant Nagar,near bus stop,12pm-3pm,cloudy,other motor vehicles,6-8year,hit and run,neglect of civic bodies,18-20years,not known,did not give right of way to vehicle,<30,rutted/pot holes,two lane,junction with >4 arms,stop sign,without licence,male
Pant Nagar,at pedestrian crossing,12am-3am,heavy rain,"trucks ,tempos,tracto",>10,right turn collision,fault of pedestrian,6-9years,above 10th std,passed on hill,30-50,Wet road,3 Lanes or more without central Divider Median,manned rail crossing,flashing signal/blinker,others,female
Eastern Express Highway,narrow bridge or culverts,6am-9am,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,weather condition,25-34years,not known,cut in sharply after passing,30-50,rutted/pot holes,3 Lanes or more without central Divider Median,unmanned rail crossing,uncontolled,paid driver,female
LBS Road,near or inside a village,9am-12pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",2-4year,skiding,neglect of civic bodies,65 and above,above 10th std,passed on curve,<30,Surfaced Roads,3 Lanes or more without central Divider Median,four arm junction,stop sign,learners licence,female
Chedda Nagar,at pedestrian crossing,12am-3am,cloudy,3 wheeler,6-8year,overturning,poor light,10-14years,upto 8th std,passed on hill,<30,muddy/oily/slippery,single lane,junction with >4 arms,stop sign,regular licence,male
Eastern Express Highway,near a recreation place/cinema,3pm-6pm,fine,"trucks ,tempos,tracto",2-4year,hit and run,poor light,18-20years,above 10th std,give improper signal,30-50,speed breaker,single lane,unmanned rail crossing,flashing signal/blinker,owner of public commercial vehicle,male
LBS Road,near bus stop,6pm-9pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",6-8year,collision brush/side swip,fault of pedestrian,65 and above,9-10std,passed on curve,50-70,straight road,single lane,staggered jucntion,police controlled,without licence,male
Chedda Nagar,near school/college,9am-12pm,cloudy,"trucks ,tempos,tracto",<1,right turn collision,fault of driver,21-24years,above 10th std,failed to give signal,30-50,road under construction/repair,single lane,t junction,police controlled,learners licence,male
Eastern Express Highway,open area,6pm-9pm,cloudy,2 wheeler,<1,hit and run,defect in road condition,65 and above,upto 8th std,passed on curve,<30,Kutcha Roads,single lane,manned rail crossing,stop sign,owner of private vehicle,male
Eastern Express Highway,near office complex,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,right turn collision,weather condition,65 and above,not known,failed to give signal,>70,straight road,two lane,unmanned rail crossing,stop sign,regular licence,male
Chedda Nagar,near school/college,12am-3am,cloudy,3 wheeler,<1,collision brush/side swip,fault of pedestrian,45-54years,above 10th std,give improper signal,<30,muddy/oily/slippery,4 Lanes or more with central divider,junction with >4 arms,stop sign,owner of public commercial vehicle,male
Chedda Nagar,near a religious place,9pm-12am,light rain,3 wheeler,4-6year,hit and run,defect in condition of motor vehicle,45-54years,upto 8th std,cut in sharply after passing,30-50,speed breaker,two lane,t junction,traffic light signal,owner of public commercial vehicle,female
Pant Nagar,at pedestrian crossing,6am-9am,heavy rain,2 wheeler,6-8year,head on collision,fault of pedestrian,55-64years,upto 8th std,failed to give signal,30-50,Surfaced Roads,two lane,four arm junction,stop sign,learners licence,male
Pant Nagar,near bus stop,12pm-3pm,fine,2 wheeler,8-10year,rear end collision,fault of pedestrian,10-14years,above 10th std,did not give right of way to pedestrian,30-50,straight road,two lane,manned rail crossing,stop sign,paid driver,male
Pant Nagar,residential area,3pm-6pm,light rain,other motor vehicles,2-4year,rear end collision,fault of pedestrian,unknown age,upto 8th std,followed too closely,30-50,Kutcha Roads,4 Lanes or more with central divider,junction with >4 arms,uncontolled,owner of public commercial vehicle,female
Pant Nagar,near school/college,6am-9am,fine,"trucks ,tempos,tracto",>10,right turn collision,defect in road condition,65 and above,above 10th std,excceding lawful speed,<30,muddy/oily/slippery,4 Lanes or more with central divider,four arm junction,uncontolled,without licence,male
Chedda Nagar,near petrol pump,6pm-9pm,cloudy,2 wheeler,<1,collision brush/side swip,defect in condition of motor vehicle,21-24years,above 10th std,did not give right of way to pedestrian,<30,speed breaker,3 Lanes or more without central Divider Median,round about junction,uncontolled,paid driver,female
Chedda Nagar,near a recreation place/cinema,9am-12pm,light rain,2 wheeler,<1,head on collision,neglect of civic bodies,45-54years,upto 8th std,other improper passsing,<30,Wet road,3 Lanes or more without central Divider Median,four arm junction,stop sign,paid driver,male
