area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender
Adgaon,in bazar,3pm-6pm,cloudy,other motor vehicles,6-8year,rear end collision,poor light,18-20years,above 10th std,did not give right of way to pedestrian,>70,Wet road,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,others,female
Pathardi fata,near bus stop,12pm-3pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,rear end collision,fault of driver,10-14years,not known,alcohol intake,50-70,Kutcha Roads,3 Lanes or more without central Divider Median,v junction,police controlled,regular licence,female
Adgaon,in bazar,9pm-12am,fine,other motor vehicles,2-4year,skiding,neglect of civic bodies,55-64years,not known,did not give right of way to pedestrian,30-50,incline road,4 Lanes or more with central divider,round about junction,police controlled,others,male
Pathardi fata,near bus stop,12pm-3pm,light rain,3 wheeler,8-10year,head on collision,defect in condition of motor vehicle,6-9years,not known,excceding lawful speed,<30,Wet road,two lane,junction with >4 arms,uncontolled,owner of public commercial vehicle,female
Pathardi fata,in bazar,12pm-3pm,fine,3 wheeler,4-6year,right turn collision,defect in road condition,6-9years,9-10std,passed on hill,50-70,Wet road,3 Lanes or more without central Divider Median,t junction,stop sign,owner of public commercial vehicle,female
Dwarka,near hospital,6pm-9pm,cloudy,other motor vehicles,1-2year,collision brush/side swip,defect in road condition,55-64years,9-10std,on wrong side of the road,>70,road under construction/repair,4 Lanes or more with central divider,staggered jucntion,stop sign,owner of private vehicle,male
Pathardi fata,near office complex,12am-3am,cloudy,2 wheeler,>10,rear end collision,weather condition,6-9years,above 10th std,failed to give signal,>70,Wet road,single lane,manned rail crossing,flashing signal/blinker,others,male
Adgaon,near hospital,12pm-3pm,fine,3 wheeler,6-8year,head on collision,neglect of civic bodies,18-20years,upto 8th std,did not give right of way to pedestrian,30-50,Surfaced Roads,two lane,round about junction,uncontolled,others,male
Sneh nagar,residential area,9am-12pm,cloudy,"trucks ,tempos,tracto",1-2year,collision brush/side swip,fault of pedestrian,35-44years,9-10std,did not give right of way to vehicle,<30,rutted/pot holes,two lane,manned rail crossing,police controlled,owner of public commercial vehicle,male
Dwarka,near a recreation place/cinema,6pm-9pm,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,collision brush/side swip,defect in road condition,21-24years,upto 8th std,failed to give signal,50-70,Wet road,two lane,v junction,traffic light signal,owner of private vehicle,male
Dwarka,residential area,3pm-6pm,heavy rain,3 wheeler,2-4year,collision brush/side swip,neglect of civic bodies,55-64years,9-10std,alcohol intake,30-50,incline road,single lane,junction with >4 arms,stop sign,regular licence,male
Pathardi fata,near a religious place,9pm-12am,fine,other motor vehicles,<1,skiding,defect in road condition,45-54years,9-10std,cut in sharply after passing,30-50,incline road,4 Lanes or more with central divider,unmanned rail crossing,stop sign,others,female
Sneh nagar,open area,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,defect in condition of motor vehicle,65 and above,9-10std,did not give right of way to vehicle,<30,road under construction/repair,two lane,manned rail crossing,police controlled,owner of private vehicle,female
Sneh nagar,residential area,6am-9am,light rain,3 wheeler,8-10year,right turn collision,defect in condition of motor vehicle,55-64years,above 10th std,give improper signal,50-70,road under construction/repair,two lane,four arm junction,flashing signal/blinker,paid driver,female
Sneh nagar,open area,3am-6am,fine,"trucks ,tempos,tracto",4-6year,hit and run,fault of pedestrian,unknown age,not known,alcohol intake,>70,straight road,4 Lanes or more with central divider,v junction,traffic light signal,others,female
Adgaon,at pedestrian crossing,3pm-6pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,skiding,defect in road condition,35-44years,upto 8th std,did not give right of way to pedestrian,>70,incline road,single lane,staggered jucntion,stop sign,paid driver,male
Sneh nagar,near bus stop,9am-12pm,cloudy,"trucks ,tempos,tracto",6-8year,hit and run,fault of pedestrian,<5years,9-10std,alcohol intake,<30,straight road,3 Lanes or more without central Divider Median,v junction,police controlled,owner of private vehicle,male
Adgaon,near hospital,3am-6am,fine,other motor vehicles,<1,skiding,poor light,55-64years,9-10std,followed too closely,<30,Wet road,4 Lanes or more with central divider,staggered jucntion,uncontolled,paid driver,male
Dwarka,near school/college,3am-6am,cloudy,"trucks ,tempos,tracto",6-8year,hit and run,defect in condition of motor vehicle,21-24years,upto 8th std,did not give right of way to vehicle,>70,muddy/oily/slippery,3 Lanes or more without central Divider Median,junction with >4 arms,flashing signal/blinker,learners licence,male
Adgaon,residential area,3am-6am,light rain,"trucks ,tempos,tracto",2-4year,skiding,fault of driver,21-24years,9-10std,cut in sharply after passing,30-50,incline road,two lane,staggered jucntion,stop sign,learners licence,female
Pathardi fata,near hospital,3pm-6pm,fine,2 wheeler,4-6year,skiding,fault of driver,35-44years,9-10std,excceding lawful speed,<30,incline road,3 Lanes or more without central Divider Median,four arm junction,uncontolled,owner of private vehicle,female
Dwarka,residential area,6pm-9pm,light rain,2 wheeler,8-10year,head on collision,defect in condition of motor vehicle,unknown age,upto 8th std,did not give right of way to pedestrian,30-50,speed breaker,4 Lanes or more with central divider,round about junction,stop sign,owner of public commercial vehicle,male
