area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender
Pimple Saudagar,near petrol pump,9pm-12am,fine,other motor vehicles,1-2year,rear end collision,fault of driver,45-54years,not known,excceding lawful speed,30-50,Kutcha Roads,4 Lanes or more with central divider,v junction,police controlled,learners licence,female
Visharant Wadi,narrow bridge or culverts,6pm-9pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",8-10year,collision brush/side swip,poor light,unknown age,above 10th std,alcohol intake,50-70,Kutcha Roads,4 Lanes or more with central divider,unmanned rail crossing,police controlled,regular licence,female
Wadgaon Bridge,near bus stop,9am-12pm,fine,other motor vehicles,<1,right turn collision,defect in condition of motor vehicle,6-9years,above 10th std,other improper passsing,30-50,Surfaced Roads,two lane,staggered jucntion,uncontolled,others,male
Pimple Saudagar,near bus stop,6am-9am,fine,2 wheeler,>10,collision brush/side swip,poor light,21-24years,not known,alcohol intake,50-70,Surfaced Roads,3 Lanes or more without central Divider Median,v junction,flashing signal/blinker,without licence,female
Wadgaon Bridge,near office complex,9am-12pm,cloudy,other motor vehicles,1-2year,overturning,fault of driver,45-54years,not known,other improper passsing,30-50,Wet road,3 Lanes or more without central Divider Median,unmanned rail crossing,stop sign,owner of private vehicle,male
Navale bridge,near a factory or indu. Area,6am-9am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,right turn collision,poor light,unknown age,upto 8th std,give improper signal,50-70,straight road,two lane,v junction,flashing signal/blinker,owner of private vehicle,female
Visharant Wadi,near hospital,3am-6am,fine,2 wheeler,6-8year,right turn collision,defect in road condition,15-17years,not known,excceding lawful speed,>70,rutted/pot holes,3 Lanes or more without central Divider Median,round about junction,stop sign,owner of private vehicle,female
Visharant Wadi,near office complex,3am-6am,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,skiding,neglect of civic bodies,18-20years,upto 8th std,did not give right of way to pedestrian,50-70,straight road,3 Lanes or more without central Divider Median,manned rail crossing,traffic light signal,regular licence,female
Navale bridge,residential area,12am-3am,light rain,"car/jeep/taxi,buses(4 wheeler)",2-4year,overturning,defect in road condition,6-9years,above 10th std,passed on curve,30-50,speed breaker,single lane,four arm junction,stop sign,owner of private vehicle,male
Wadgaon Bridge,near or inside a village,6am-9am,cloudy,3 wheeler,6-8year,rear end collision,defect in condition of motor vehicle,unknown age,above 10th std,on wrong side of the road,<30,speed breaker,3 Lanes or more without central Divider Median,round about junction,traffic light signal,without licence,female
Wadgaon Bridge,near a religious place,6pm-9pm,fine,"trucks ,tempos,tracto",4-6year,head on collision,fault of pedestrian,35-44years,not known,excceding lawful speed,50-70,Kutcha Roads,3 Lanes or more without central Divider Median,unmanned rail crossing,uncontolled,paid driver,male
Wadgaon Bridge,near hospital,12pm-3pm,cloudy,"trucks ,tempos,tracto",4-6year,rear end collision,defect in road condition,18-20years,9-10std,passed on hill,30-50,incline road,4 Lanes or more with central divider,junction with >4 arms,traffic light signal,owner of private vehicle,female
Navale bridge,near office complex,3pm-6pm,fine,2 wheeler,8-10year,head on collision,defect in condition of motor vehicle,10-14years,not known,other improper passsing,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,junction with >4 arms,stop sign,regular licence,male
Navale bridge,near a factory or indu. Area,3pm-6pm,cloudy,3 wheeler,4-6year,hit and run,fault of pedestrian,45-54years,upto 8th std,other improper passsing,30-50,incline road,3 Lanes or more without central Divider Median,manned rail crossing,flashing signal/blinker,without licence,female
Wadgaon Bridge,at pedestrian crossing,3am-6am,heavy rain,2 wheeler,<1,hit and run,defect in condition of motor vehicle,18-20years,not known,on wrong side of the road,<30,road under construction/repair,4 Lanes or more with central divider,four arm junction,traffic light signal,others,female
Visharant Wadi,near bus stop,3am-6am,heavy rain,other motor vehicles,>10,skiding,neglect of civic bodies,unknown age,above 10th std,did not give right of way to vehicle,<30,speed breaker,single lane,t junction,traffic light signal,without licence,female
Visharant Wadi,residential area,9am-12pm,heavy rain,3 wheeler,8-10year,rear end collision,neglect of civic bodies,65 and above,above 10th std,passed on curve,>70,Surfaced Roads,3 Lanes or more without central Divider Median,round about junction,police controlled,learners licence,female
Wadgaon Bridge,in bazar,3pm-6pm,heavy rain,2 wheeler,2-4year,right turn collision,fault of driver,25-34years,not known,followed too closely,50-70,rutted/pot holes,4 Lanes or more with central divider,round about junction,uncontolled,others,male
Wadgaon Bridge,near petrol pump,9pm-12am,cloudy,other motor vehicles,8-10year,hit and run,weather condition,unknown age,9-10std,excceding lawful speed,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,round about junction,police controlled,owner of public commercial vehicle,male
Navale bridge,near or inside a village,3pm-6pm,heavy rain,3 wheeler,4-6year,right turn collision,neglect of civic bodies,unknown age,upto 8th std,did not give right of way to vehicle,30-50,speed breaker,single lane,v junction,flashing signal/blinker,without licence,female
Pimple Saudagar,open area,9am-12pm,fine,2 wheeler,>10,right turn collision,defect in condition of motor vehicle,65 and above,above 10th std,give improper signal,50-70,speed breaker,3 Lanes or more without central Divider Median,v junction,traffic light signal,regular licence,male
Pimple Saudagar,narrow bridge or culverts,9pm-12am,cloudy,"car/jeep/taxi,buses(4 wheeler)",1-2year,hit and run,weather condition,25-34years,not known,did not give right of way to vehicle,>70,Surfaced Roads,two lane,v junction,stop sign,without licence,female
Navale bridge,near hospital,12pm-3pm,heavy rain,"car/jeep/taxi,buses(4 wheeler)",>10,rear end collision,fault of driver,10-14years,upto 8th std,did not give right of way to pedestrian,>70,speed breaker,4 Lanes or more with central divider,junction with >4 arms,flashing signal/blinker,owner of public commercial vehicle,female
Pimple Saudagar,narrow bridge or culverts,3am-6am,heavy rain,"trucks ,tempos,tracto",6-8year,collision brush/side swip,defect in condition of motor vehicle,65 and above,not known,cut in sharply after passing,<30,incline road,two lane,four arm junction,stop sign,without licence,female
Pimple Saudagar,near office complex,3am-6am,cloudy,other motor vehicles,4-6year,right turn collision,poor light,55-64years,9-10std,cut in sharply after passing,50-70,road under construction/repair,3 Lanes or more without central Divider Median,junction with >4 arms,traffic light signal,learners licence,male
Pimple Saudagar,near office complex,6pm-9pm,fine,2 wheeler,6-8year,hit and run,fault of pedestrian,45-54years,9-10std,give improper signal,<30,Wet road,4 Lanes or more with central divider,junction with >4 arms,stop sign,others,male
Wadgaon Bridge,narrow bridge or culverts,3am-6am,cloudy,"trucks ,tempos,tracto",>10,head on collision,poor light,10-14years,above 10th std,other improper passsing,>70,road under construction/repair,single lane,round about junction,uncontolled,learners licence,female
Wadgaon Bridge,narrow bridge or culverts,6pm-9pm,cloudy,3 wheeler,6-8year,collision brush/side swip,defect in condition of motor vehicle,35-44years,upto 8th std,did not give right of way to pedestrian,50-70,straight road,two lane,round about junction,uncontolled,others,male
Wadgaon Bridge,open area,6pm-9pm,cloudy,3 wheeler,8-10year,hit and run,poor light,<5years,upto 8th std,did not give right of way to pedestrian,<30,Kutcha Roads,two lane,unmanned rail crossing,uncontolled,regular licence,male
Visharant Wadi,near bus stop,6am-9am,fine,other motor vehicles,>10,head on collision,fault of pedestrian,25-34years,not known,excceding lawful speed,50-70,Kutcha Roads,single lane,staggered jucntion,uncontolled,regular licence,male
Pimple Saudagar,near hospital,3pm-6pm,fine,"trucks ,tempos,tracto",2-4year,overturning,weather condition,unknown age,9-10std,did not give right of way to vehicle,<30,rutted/pot holes,two lane,unmanned rail crossing,uncontolled,others,male
Wadgaon Bridge,near office complex,6pm-9pm,cloudy,3 wheeler,6-8year,rear end collision,defect in road condition,18-20years,not known,excceding lawful speed,50-70,straight road,4 Lanes or more with central divider,round about junction,traffic light signal,owner of private vehicle,female
Wadgaon Bridge,near a recreation place/cinema,6pm-9pm,light rain,other motor vehicles,1-2year,overturning,defect in road condition,18-20years,not known,other improper passsing,>70,Surfaced Roads,two lane,round about junction,police controlled,owner of private vehicle,male
Visharant Wadi,near a religious place,12pm-3pm,cloudy,other motor vehicles,8-10year,right turn collision,defect in road condition,45-54years,not known,did not give right of way to pedestrian,>70,speed breaker,two lane,junction with >4 arms,police controlled,others,male
Navale bridge,near school/college,3pm-6pm,fine,2 wheeler,8-10year,collision brush/side swip,poor light,6-9years,9-10std,cut in sharply after passing,50-70,Wet road,single lane,round about junction,traffic light signal,paid driver,male
Navale bridge,near a recreation place/cinema,9am-12pm,cloudy,"trucks ,tempos,tracto",8-10year,right turn collision,poor light,25-34years,not known,other improper passsing,50-70,straight road,two lane,four arm junction,stop sign,learners licence,male
Wadgaon Bridge,residential area,3pm-6pm,fine,2 wheeler,8-10year,right turn collision,neglect of civic bodies,15-17years,upto 8th std,followed too closely,50-70,Surfaced Roads,single lane,staggered jucntion,flashing signal/blinker,owner of public commercial vehicle,male
Visharant Wadi,open area,3pm-6pm,fine,other motor vehicles,8-10year,hit and run,defect in condition of motor vehicle,15-17years,not known,cut in sharply after passing,<30,rutted/pot holes,two lane,four arm junction,flashing signal/blinker,learners licence,male
Pimple Saudagar,open area,9am-12pm,fine,other motor vehicles,>10,head on collision,neglect of civic bodies,15-17years,9-10std,passed on curve,30-50,incline road,two lane,unmanned rail crossing,stop sign,without licence,male
Wadgaon Bridge,near office complex,12am-3am,light rain,"car/jeep/taxi,buses(4 wheeler)",<1,hit and run,neglect of civic bodies,10-14years,upto 8th std,cut in sharply after passing,30-50,rutted/pot holes,4 Lanes or more with central divider,v junction,police controlled,owner of private vehicle,female
Navale bridge,near office complex,12pm-3pm,light rain,"trucks ,tempos,tracto",1-2year,overturning,fault of driver,35-44years,above 10th std,followed too closely,<30,incline road,3 Lanes or more without central Divider Median,four arm junction,police controlled,without licence,male
Navale bridge,near petrol pump,6pm-9pm,cloudy,2 wheeler,2-4year,rear end collision,defect in condition of motor vehicle,10-14years,not known,failed to give signal,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,t junction,police controlled,owner of public commercial vehicle,female
Navale bridge,near a recreation place/cinema,12am-3am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,right turn collision,fault of pedestrian,25-34years,not known,did not give right of way to pedestrian,>70,road under construction/repair,3 Lanes or more without central Divider Median,unmanned rail crossing,police controlled,learners licence,female
Navale bridge,near office complex,9am-12pm,heavy rain,2 wheeler,1-2year,skiding,weather condition,<5years,above 10th std,passed on hill,30-50,Wet road,4 Lanes or more with central divider,four arm junction,uncontolled,paid driver,male
Wadgaon Bridge,near a factory or indu. Area,12pm-3pm,fine,3 wheeler,4-6year,right turn collision,fault of pedestrian,65 and above,upto 8th std,alcohol intake,>70,Surfaced Roads,4 Lanes or more with central divider,manned rail crossing,uncontolled,others,male
Navale bridge,at pedestrian crossing,12pm-3pm,fine,other motor vehicles,1-2year,collision brush/side swip,poor light,15-17years,not known,other improper passsing,30-50,rutted/pot holes,single lane,manned rail crossing,stop sign,owner of public commercial vehicle,male
Navale bridge,near petrol pump,3am-6am,cloudy,3 wheeler,8-10year,collision brush/side swip,defect in road condition,<5years,9-10std,on wrong side of the road,<30,Wet road,4 Lanes or more with central divider,round about junction,flashing signal/blinker,others,male
Pimple Saudagar,residential area,12am-3am,cloudy,other motor vehicles,<1,right turn collision,fault of pedestrian,45-54years,upto 8th std,excceding lawful speed,<30,Surfaced Roads,single lane,round about junction,police controlled,paid driver,male
Pimple Saudagar,near petrol pump,3am-6am,fine,other motor vehicles,<1,head on collision,defect in condition of motor vehicle,21-24years,9-10std,followed too closely,<30,road under construction/repair,two lane,t junction,police controlled,owner of public commercial vehicle,female
Wadgaon Bridge,near a factory or indu. Area,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",4-6year,head on collision,fault of pedestrian,35-44years,9-10std,cut in sharply after passing,<30,incline road,4 Lanes or more with central divider,four arm junction,flashing signal/blinker,owner of private vehicle,male
Wadgaon Bridge,at pedestrian crossing,12pm-3pm,fine,other motor vehicles,>10,skiding,poor light,21-24years,upto 8th std,did not give right of way to vehicle,<30,Surfaced Roads,single lane,round about junction,police controlled,paid driver,female
Wadgaon Bridge,near or inside a village,9pm-12am,light rain,2 wheeler,6-8year,skiding,poor light,45-54years,not known,passed on hill,<30,muddy/oily/slippery,single lane,manned rail crossing,traffic light signal,learners licence,male
Wadgaon Bridge,near a recreation place/cinema,6am-9am,cloudy,other motor vehicles,<1,rear end collision,neglect of civic bodies,10-14years,9-10std,did not give right of way to vehicle,>70,Surfaced Roads,4 Lanes or more with central divider,staggered jucntion,uncontolled,paid driver,female
Wadgaon Bridge,in bazar,12am-3am,cloudy,"trucks ,tempos,tracto",>10,right turn collision,fault of driver,45-54years,9-10std,on wrong side of the road,>70,Kutcha Roads,4 Lanes or more with central divider,round about junction,police controlled,paid driver,male
Navale bridge,near a religious place,3pm-6pm,cloudy,other motor vehicles,>10,collision brush/side swip,fault of driver,15-17years,not known,alcohol intake,50-70,road under construction/repair,3 Lanes or more without central Divider Median,t junction,uncontolled,others,female
Pimple Saudagar,open area,9am-12pm,fine,2 wheeler,2-4year,rear end collision,neglect of civic bodies,35-44years,9-10std,did not give right of way to vehicle,50-70,incline road,4 Lanes or more with central divider,junction with >4 arms,stop sign,owner of public commercial vehicle,female
Wadgaon Bridge,near office complex,9pm-12am,fine,2 wheeler,<1,hit and run,defect in condition of motor vehicle,25-34years,not known,alcohol intake,50-70,muddy/oily/slippery,3 Lanes or more without central Divider Median,unmanned rail crossing,flashing signal/blinker,without licence,female
Visharant Wadi,in bazar,9am-12pm,cloudy,"trucks ,tempos,tracto",<1,collision brush/side swip,defect in road condition,35-44years,above 10th std,passed on curve,30-50,Surfaced Roads,3 Lanes or more without central Divider Median,manned rail crossing,stop sign,owner of private vehicle,female
Wadgaon Bridge,residential area,3am-6am,light rain,3 wheeler,1-2year,overturning,fault of pedestrian,65 and above,above 10th std,did not give right of way to vehicle,>70,rutted/pot holes,4 Lanes or more with central divider,v junction,police controlled,owner of public commercial vehicle,male
Pimple Saudagar,at pedestrian crossing,12pm-3pm,heavy rain,"trucks ,tempos,tracto",>10,right turn collision,fault of pedestrian,65 and above,upto 8th std,failed to give signal,>70,speed breaker,3 Lanes or more without central Divider Median,four arm junction,traffic light signal,others,female
Visharant Wadi,near school/college,9pm-12am,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,overturning,defect in condition of motor vehicle,18-20years,9-10std,followed too closely,30-50,Kutcha Roads,single lane,unmanned rail crossing,traffic light signal,others,male
Wadgaon Bridge,open area,3am-6am,light rain,"car/jeep/taxi,buses(4 wheeler)",1-2year,collision brush/side swip,neglect of civic bodies,15-17years,upto 8th std,on wrong side of the road,<30,speed breaker,two lane,four arm junction,stop sign,learners licence,male
Visharant Wadi,near a recreation place/cinema,6pm-9pm,cloudy,3 wheeler,4-6year,skiding,neglect of civic bodies,15-17years,9-10std,passed on hill,50-70,road under construction/repair,3 Lanes or more without central Divider Median,junction with >4 arms,traffic light signal,regular licence,male
Wadgaon Bridge,near petrol pump,6pm-9pm,fine,"car/jeep/taxi,buses(4 wheeler)",2-4year,skiding,defect in road condition,25-34years,9-10std,did not give right of way to vehicle,50-70,straight road,3 Lanes or more without central Divider Median,manned rail crossing,police controlled,learners licence,male
Pimple Saudagar,at pedestrian crossing,3pm-6pm,fine,2 wheeler,6-8year,rear end collision,poor light,35-44years,above 10th std,followed too closely,<30,rutted/pot holes,single lane,unmanned rail crossing,traffic light signal,learners licence,male
Navale bridge,near school/college,9am-12pm,light rain,"car/jeep/taxi,buses(4 wheeler)",>10,collision brush/side swip,poor light,25-34years,9-10std,alcohol intake,<30,incline road,4 Lanes or more with central divider,v junction,flashing signal/blinker,learners licence,male
Navale bridge,open area,3am-6am,fine,"trucks ,tempos,tracto",8-10year,right turn collision,weather condition,6-9years,not known,on wrong side of the road,>70,speed breaker,4 Lanes or more with central divider,round about junction,traffic light signal,without licence,male
