area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,according to Responsibilities of Driver,speed,roadconditions,roadfeature,typeofjunction,type of traffic control,Owner of Type of Vehicles and Type of Licence,Gender
khopoli,highway,12pm-3pm ,heavy rain ,"trucks ,tempos,tracto ",>10,alchol intake , fault of driver ,18-20years ,not known,,<30 ,,,,,regular licence ,Female
khalapur,Bridge,3am-6am,fine ,"trucks ,tempos,tracto ",2-4year ,alchol intake ,weather condition ,65 and above ,9-10std ,,50-70 ,,,,,without licence,Female
lonavala,highway,9am-12pm ,cloudy ,other motor vehicles,4-6year ,did not give right of way to vehicle ,fault of driver of other vehicles ,<5years ,above 10th std ,,30-50 ,,,,,owner of private vehicle ,Male
khalapur,toll naka,9am-12pm ,cloudy ,3 wheeler ,4-6year ,did not give right of way to vehicle ,weather condition ,35-44years ,9-10std ,,<30 ,,,,,regular licence ,Female
kamshet,tunnel,9pm-12am ,cloudy ,car/jeep/taxi/buses(4 wheeler) ,4-6year ,excceding lawful speed ,fault of pedestrian ,21-24years ,above 10th std ,,30-50 ,,,,,others ,Female
khandala,highway,12am-3am ,fine ,2 wheeler ,>10,excceding lawful speed ,weather condition ,65 and above ,9-10std ,,30-50 ,,,,,regular licence ,Female
khalapur,Highway,12am-3am ,fine ,car/jeep/taxi/buses(4 wheeler) ,4-6year ,excceding lawful speed ,fault of pedestrian ,25-34years ,not known,,>70,,,,,others ,Male
khalapur,toll naka,6pm-9pm ,heavy rain ,car/jeep/taxi/buses(4 wheeler) ,8-10year ,on wrong side of the road ,poor light ,<5years ,above 10th std ,,50-70 ,,,,,owner of public commercial vehicle ,Female
kamshet,highway,9pm-12am ,fine ,car/jeep/taxi/buses(4 wheeler) ,1-2year ,passed on curve ,weather condition ,<5years ,not known,,50-70 ,,,,,regular licence ,Female
khopoli,Bridge,6pm-9pm ,fine ,other motor vehicles,>10,excceding lawful speed , fault of driver ,55-64years ,above 10th std ,,30-50 ,,,,,regular licence ,Male
khalapur,Highway,3pm-6pm ,heavy rain ,other motor vehicles,>10,other improper passsing , fault of driver ,25-34years ,9-10std ,,<30 ,,,,,learners licence ,Male
