area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,accordingtoResponsibilitiesofDriver,speed,roadconditions,roadfeature,typeofjunction,typeoftrafficcontrol,OwnerofTypeofVehiclesandTypeofLicence,Gender,area
Vartak Nagar,in bazar,3pm-6pm,light rain,"trucks ,tempos,tracto",1-2year,skiding,poor light,65 and above,upto 8th std,cut in sharply after passing,30-50,rutted/pot holes,4 Lanes or more with central divider,v junction,uncontolled,owner of private vehicle,male,Vartak Nagar
Manpada,near petrol pump,6am-9am,heavy rain,3 wheeler,2-4year,skiding,neglect of civic bodies,21-24years,above 10th std,on wrong side of the road,30-50,incline road,3 Lanes or more without central Divider Median,v junction,traffic light signal,paid driver,male,Manpada
Kopri,near hospital,3am-6am,cloudy,2 wheeler,1-2year,overturning,poor light,<5years,above 10th std,alcohol intake,<30,Wet road,two lane,staggered jucntion,stop sign,others,male,Kopri
Eastern Express Highway,at pedestrian crossing,3am-6am,light rain,3 wheeler,2-4year,right turn collision,defect in condition of motor vehicle,55-64years,not known,cut in sharply after passing,<30,muddy/oily/slippery,4 Lanes or more with central divider,staggered jucntion,traffic light signal,without licence,female,Eastern Express Highway
Teen Hath Naka,near school/college,12am-3am,heavy rain,2 wheeler,2-4year,hit and run,defect in condition of motor vehicle,65 and above,upto 8th std,passed on hill,30-50,speed breaker,single lane,unmanned rail crossing,uncontolled,owner of private vehicle,male,Teen Hath Naka
Teen Hath Naka,residential area,6pm-9pm,heavy rain,2 wheeler,2-4year,hit and run,weather condition,10-14years,9-10std,other improper passsing,50-70,Surfaced Roads,single lane,t junction,uncontolled,paid driver,male,Teen Hath Naka
Eastern Express Highway,at pedestrian crossing,12pm-3pm,light rain,"trucks ,tempos,tracto",2-4year,head on collision,neglect of civic bodies,6-9years,not known,excceding lawful speed,50-70,road under construction/repair,two lane,round about junction,flashing signal/blinker,paid driver,female,Eastern Express Highway
Hiranandani Estate,open area,3am-6am,fine,other motor vehicles,8-10year,hit and run,neglect of civic bodies,18-20years,above 10th std,passed on curve,<30,incline road,4 Lanes or more with central divider,manned rail crossing,uncontolled,owner of private vehicle,male,Hiranandani Estate
Kolshet Road,at pedestrian crossing,12am-3am,cloudy,other motor vehicles,>10,overturning,neglect of civic bodies,21-24years,upto 8th std,excceding lawful speed,50-70,speed breaker,3 Lanes or more without central Divider Median,t junction,stop sign,owner of public commercial vehicle,male,Kolshet Road
Vasant Vihar,residential area,3pm-6pm,heavy rain,3 wheeler,>10,right turn collision,weather condition,65 and above,upto 8th std,excceding lawful speed,>70,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,learners licence,male,Vasant Vihar
Vartak Nagar,in bazar,6am-9am,fine,other motor vehicles,>10,right turn collision,weather condition,<5years,9-10std,on wrong side of the road,50-70,road under construction/repair,3 Lanes or more without central Divider Median,t junction,traffic light signal,without licence,male,Vartak Nagar
Panchpakhadi,near bus stop,6pm-9pm,heavy rain,3 wheeler,8-10year,rear end collision,defect in road condition,unknown age,upto 8th std,passed on curve,>70,Wet road,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,paid driver,female,Panchpakhadi
Eastern Express Highway,at pedestrian crossing,3pm-6pm,heavy rain,3 wheeler,1-2year,hit and run,weather condition,21-24years,above 10th std,cut in sharply after passing,<30,muddy/oily/slippery,3 Lanes or more without central Divider Median,staggered jucntion,traffic light signal,without licence,female,Eastern Express Highway
Dhokali,near petrol pump,12am-3am,fine,"car/jeep/taxi,buses(4 wheeler)",6-8year,hit and run,neglect of civic bodies,10-14years,upto 8th std,give improper signal,>70,rutted/pot holes,3 Lanes or more without central Divider Median,four arm junction,police controlled,regular licence,male,Dhokali
Vartak Nagar,in bazar,12pm-3pm,heavy rain,3 wheeler,8-10year,collision brush/side swip,fault of driver,35-44years,upto 8th std,passed on curve,>70,Surfaced Roads,3 Lanes or more without central Divider Median,t junction,flashing signal/blinker,learners licence,female,Vartak Nagar
Majiwada,in bazar,3am-6am,fine,3 wheeler,2-4year,head on collision,poor light,21-24years,above 10th std,other improper passsing,<30,speed breaker,single lane,v junction,uncontolled,owner of private vehicle,male,Majiwada
Ghodbander,near office complex,12am-3am,cloudy,2 wheeler,4-6year,skiding,neglect of civic bodies,45-54years,9-10std,other improper passsing,<30,Surfaced Roads,two lane,manned rail crossing,uncontolled,owner of public commercial vehicle,female,Ghodbander
Vartak Nagar,near a recreation place/cinema,6am-9am,heavy rain,other motor vehicles,<1,collision brush/side swip,defect in condition of motor vehicle,35-44years,above 10th std,other improper passsing,30-50,Kutcha Roads,two lane,staggered jucntion,uncontolled,owner of public commercial vehicle,female,Vartak Nagar
Majiwada,near bus stop,12am-3am,cloudy,"trucks ,tempos,tracto",1-2year,right turn collision,weather condition,65 and above,not known,failed to give signal,<30,Wet road,single lane,staggered jucntion,uncontolled,others,female,Majiwada
Panchpakhadi,at pedestrian crossing,12am-3am,heavy rain,"car/jeep/taxi,buses(4 wheeler)",4-6year,rear end collision,fault of driver,15-17years,not known,passed on curve,>70,Wet road,single lane,staggered jucntion,police controlled,without licence,female,Panchpakhadi
Kolshet Road,at pedestrian crossing,9pm-12am,cloudy,2 wheeler,4-6year,skiding,fault of driver,65 and above,not known,excceding lawful speed,50-70,Kutcha Roads,4 Lanes or more with central divider,four arm junction,uncontolled,owner of private vehicle,female,Kolshet Road
Talav Pali,near a recreation place/cinema,9am-12pm,cloudy,"car/jeep/taxi,buses(4 wheeler)",1-2year,collision brush/side swip,neglect of civic bodies,65 and above,above 10th std,excceding lawful speed,<30,straight road,two lane,manned rail crossing,traffic light signal,learners licence,female,Talav Pali
Kolshet Road,near a religious place,3am-6am,fine,2 wheeler,4-6year,right turn collision,weather condition,unknown age,not known,on wrong side of the road,>70,Surfaced Roads,single lane,manned rail crossing,traffic light signal,others,male,Kolshet Road
Hiranandani Estate,near bus stop,12pm-3pm,light rain,other motor vehicles,6-8year,right turn collision,defect in road condition,6-9years,9-10std,did not give right of way to pedestrian,>70,Kutcha Roads,4 Lanes or more with central divider,junction with >4 arms,uncontolled,paid driver,female,Hiranandani Estate
