"","precautions by user","Solutions at admin side"
"frozenset({'light rain', '50-70', 'flashing signal/blinker'})","Avoid speeding above 40"," traffic authorities should ensure that signal lights are working properly "
"frozenset({'fine', '<30', '3 wheeler'})","3 wheeler vehicle drivers need to be more careful ","3 wheeler vehicles should be strictly made to follow the lane traffic rules"
"frozenset({'Wet road', 'car/jeep/taxi,buses(4 wheeler)', '<30', 'fine'})","4 wheeler vehicles should avoid speding on wet road ","4 wheeler vechiles should be strictly made to follow the lane system "
"frozenset({'neglect of civic bodies', 'other motor vehicles', '30-50', 'rear end collision'})","Area prone to rear end collision ","Civic bodies responsible for road maintainence should function properly"
"frozenset({'12am-3am', 'heavy rain', 'neglect of civic bodies'})","Avoid driving in heavy rains and night time","civic body responsible to prevent water logging on low-lying area"
"frozenset({'Kutcha Roads', 'heavy rain', 'neglect of civic bodies'})","Avoid driving in heavy rains ","Civic body should ensure the roads are properly maintained"
"frozenset({'defect in condition of motor vehicle', '2 wheeler', 'near a recreation place/cinema'})","2 wheeler driver should follow speed limits near cinema","Display sign board 100m before to warn driver about the cinema ahead"
"frozenset({'overturning', 'police controlled', 'light rain'})","Overturning accident prone area","Display sign board to warn drivers of the overturning prone area"
"frozenset({'trucks ,tempos,tracto', 'heavy rain', '3am-6am'})","Avoid driving in heavy rains and at night time","During heavy rains trucks/tempo shhould be allowed at night time "
"frozenset({'head on collision', '<30', '3 wheeler'})","Head on collision prone area","Ensure no distractions are present near this area"
"frozenset({'fine', '3am-6am', '<30', '3 wheeler'})","3 wheeler vehicles need to be more careful at night time","Ensure street lights are working properly in night time also"
"frozenset({'traffic light signal', '30-50', 'skiding'})","avoid speeding on slippery road","Ensure that slippery roads are repaired immediately "
"frozenset({'fine', 'weather condition', '3am-6am'})","Avoid driving in late hours","ensure that street lights are working at night time "
"frozenset({'Wet road', 'heavy rain', 'traffic light signal'})","Follow traffic signal rules","Ensure that traffic signal lights are also visible in heavy rains"
"frozenset({'heavy rain', '30-50', 'skiding'})","in heavy rains road is prone to accidents due to skiding ","Ensure that water logging is avoided on roads "
"frozenset({'fine', 'police controlled', '3am-6am'})","Avoid driving in late hours","Functioning of police should be improved"
"frozenset({'police controlled', '<30', '3am-6am'})","Follow traffic police instructions","Functioning of traffice police should be improved"
"frozenset({'traffic light signal', '<30', 'fine'})","Follow traffic signal rules ","Implement more police officials if required"
"frozenset({'overturning', 'Kutcha Roads', 'stop sign'})","Follow stop sign, area is overturning accident prone","Improve road condition and visibility of stop sign board"
"frozenset({'trucks ,tempos,tracto', '30-50', 'skiding'})","truck/tempo should avoid speeding above 40 ","Improve road conditions to avoid skiding "
"frozenset({'defect in condition of motor vehicle', 'police controlled', '50-70'})","avoid speeding above 50 and follow traffic police instruction ","Improve scrunity of vehicle condition by respective authorities"
"frozenset({'50-70', 'poor light', 'skiding'})","Avoid speeding to prevent skiding ","Improve street lights and ensure road is not slippery "
"frozenset({'cloudy', '50-70', 'poor light'})","avoid speeding in unclear weather and poor lights ","Improve street lights and speed breakers should be constructed if requiredd"
"frozenset({'other motor vehicles', '50-70', 'poor light'})","avoid speeding in unclear weather and poor lights ","Improve street lights and visibility of sign boards"
"frozenset({'weather condition', 'hit and run', '3am-6am'})","be careful of pedestrian crossing ","Improve street lights in this region"
"frozenset({'Kutcha Roads', 'car/jeep/taxi,buses(4 wheeler)', 'heavy rain'})","avoid driving in heavy rains ","Improve the road condition "
"frozenset({'fine', 'trucks ,tempos,tracto', '3am-6am'})","trucks/tempo need to be more careful at night time ","Improve the scrunity procedure for issuing license to tempo/truck drivers"
"frozenset({'2 wheeler', '50-70', 'stop sign'})","2 wheeler drivers shoild avoid speeding above 50 and follow road signs","improve the visibility of stop sign board "
"frozenset({'6pm-9pm', 'light rain', 'weather condition', 'speed breaker'})","drive carefully near speed breakers in poor weather conditions ","Improve the visisbility of speed breakers"
"frozenset({'car/jeep/taxi,buses(4 wheeler)', '50-70', 'stop sign'})","Avoid speeding above 50 and follow stop sign board ","Improve the visisbility of stop sign boards"
"frozenset({'heavy rain', '12pm-3pm', 'traffic light signal'})","traffic signals should be strictly followed","Improve traffic police functioning "
"frozenset({'Kutcha Roads', 'heavy rain', 'stop sign'})","follow stop sign board and avoid driving in heavy rains on poor road conditions ","Improve visibility of stop sign boards and road condition"
"frozenset({'stop sign', '50-70', 'poor light'})","use headlights and avoid speeding above 50","Improve visibility of stop sign boards and street lights"
"frozenset({'trucks ,tempos,tracto', 'heavy rain', '50-70'})","Avoid speeding in heavy rains ","In heavy rains reflective speed limit sign boards should be used for trucks/tempo"
"frozenset({'police controlled', 'defect in condition of motor vehicle', 'heavy rain'})","Ensure your vehicle is well serviced and avoid driving in heavy rain","In heavy rains the police should be provided with reflective equipments "
"frozenset({'defect in condition of motor vehicle', 'car/jeep/taxi,buses(4 wheeler)', 'police controlled', '50-70'})","avoid speeding and follow traffic police instructions","Incase of heavy traffic area, install new traffic signal and display speed limit for 4 wheeler vehicle "
"frozenset({'defect in condition of motor vehicle', '2 wheeler', 'cloudy'})","avoid driving if unclear weather","Inspection of vehicle condition should be done "
"frozenset({'>70', 'rear end collision', '3am-6am'})","Speeding above 70 may lead to rear end collision","Lane system should be improved and speed limit for different vehicles should be displayed"
"frozenset({'2 wheeler', 'heavy rain', 'hit and run'})","In heavy rains road is prone to accidents ","lane system should improve and reflective sign boards should be used to improve their visibility "
"frozenset({'poor light', '50-70', 'flashing signal/blinker'})","Use headlights and avoid speeding above 50","Maintain street lights and traffic signal lights "
"frozenset({'trucks ,tempos,tracto', 'traffic light signal', '30-50', 'skiding'})","truck/tempo should avoid speeding above 40 ","measures should be taken to avoid roads from getting slippery and ensure that truck drivers follow traffic rules"
"frozenset({'trucks ,tempos,tracto', 'fault of pedestrian', 'fine'})","be careful of pedestrian crossing ","Measures should be taken to improve safety of pedestrians"
