 ,Solutions for Admin 
"frozenset({'50-70 ', 'police controlled ', 'other motor vehicles'})",Add speed breakers and improve traffic police functioning 
"frozenset({'50-70 ', '12am-3am ', 'weather condition '})",Improve visibilty of speed breakers and sign boards 
"frozenset({'cloudy ', '2 wheeler ', 'traffic light signal '})",reflective signs to warn the drivers in not clear weather and make helmet checking strict 
"frozenset({'>70', '3 wheeler ', 'other extraordinary weather conditions'})",Add speed breakers with good visibilty
"frozenset({'cloudy ', '3am-6am', 'traffic light signal '})",Add reflective sign boards before the traffic signal 
"frozenset({'light rain ', '3am-6am', 'uncontolled'})",Improve visibilty of speed breakers and functioning of police
"frozenset({'50-70 ', 'near a factory or indu. Area ', 'car/jeep/taxi,buses(4 wheeler) '})",Warn about factory area using sign boards to show speed limits 
"frozenset({'50-70 ', 'police controlled ', 'other extraordinary weather conditions'})",improve police functioning and also add reflective speed limit sign boards 
"frozenset({'rear end collision ', 'police controlled ', '6pm-9pm '})",Improve lane system and traffic police functioning 
"frozenset({'flashing signal/blinker ', 'fault of driver ', '<30 '})","Improve safety and warning signs position, Strict scrutiny before provision of driving licence"
"frozenset({'flashing signal/blinker ', 'heavy rain ', '<30 '})","Improve safety and warning signs position, Prevent water logging on low-lying area"
"frozenset({'cloudy ', '9am-12pm ', 'car/jeep/taxi,buses(4 wheeler) '})",Use reflective sign boards to warn the drivers 
"frozenset({'light rain ', '50-70 ', 'car/jeep/taxi,buses(4 wheeler) '})",improve visibility of speed limit sign board 
"frozenset({'cloudy ', '50-70 ', 'stray animals '})",
"frozenset({'50-70 ', 'police controlled ', 'muddy/oily/slippery'})",Improve road conditions and ensure road is not slippery 
"frozenset({'50-70 ', 'police controlled ', 'stray animals '})",
"frozenset({'fine ', 'police controlled ', '3 wheeler '})",strict inspection of 3 wheeler vehicles should be done
"frozenset({'heavy rain ', '30-50 ', 'uncontolled'})",Prevent water logging on low-lying area by proper drainage system 
"frozenset({'cloudy ', '3pm-6pm ', 'rutted/pot holes '})",improve roads and fill the potholes 
"frozenset({'<30 ', 'stray animals ', '6pm-9pm '})",
"frozenset({'speed braker ', 'heavy rain ', 'uncontolled'})","Prevent water logging on low-lying area, improve visibilty of speed breakers"
"frozenset({'>70', 'uncontolled', '3 wheeler '})","Add speed breakers, Install traffic signals wherever there is haphazard traffic"
